,Name,Calories,Fat,Carb,Fiber,Protein,Sodium
64,Starbucks® Signature Hot Chocolate,430.0,26.0,45.0,5.0,12.0,115.0
65,Caffè Latte,190.0,7.0,19.0,0.0,13.0,170.0
66,Caffè Mocha,290.0,8.0,42.0,4.0,13.0,140.0
67,Cappuccino,120.0,4.0,12.0,0.0,8.0,100.0
68,Caramel Macchiato,250.0,7.0,35.0,0.0,10.0,150.0
69,Cinnamon Dolce Latte,260.0,6.0,40.0,0.0,11.0,150.0
70,Coconutmilk Mocha Macchiato,250.0,9.0,32.0,0.0,12.0,180.0
71,Flat White,180.0,7.0,18.0,0.0,12.0,160.0
72,Iced Caffè Latte,130.0,4.5,13.0,0.0,8.0,115.0
73,Iced Caffè Mocha,230.0,6.0,36.0,4.0,9.0,90.0
74,Iced Caramel Macchiato,250.0,7.0,37.0,0.0,10.0,150.0
75,Iced Cinnamon Dolce Latte,200.0,4.0,34.0,0.0,7.0,95.0
76,Iced Coconutmilk Mocha Macchiato,260.0,9.0,34.0,0.0,11.0,180.0
77,Iced Vanilla Latte,190.0,4.0,30.0,0.0,7.0,100.0
78,Iced White Chocolate Mocha,300.0,8.0,47.0,0.0,10.0,190.0
79,Latte Macchiato,190.0,7.0,19.0,0.0,12.0,160.0
80,Latte Macchiato,190.0,7.0,19.0,0.0,12.0,160.0
81,Starbucks Doubleshot® on Ice Beverage,45.0,1.0,5.0,0.0,3.0,40.0
82,Vanilla Latte,250.0,6.0,37.0,0.0,12.0,150.0
83,White Chocolate Mocha,360.0,11.0,53.0,0.0,14.0,240.0
84,Cinnamon Dolce Frappuccino® Blended Coffee,350.0,4.5,64.0,0.0,15.0,0.0
85,Coffee Light Frappuccino® Blended Coffee,110.0,0.0,24.0,0.0,3.0,200.0
86,Mocha Frappuccino® Blended Coffee,280.0,2.5,60.0,2.0,4.0,220.0
87,Mocha Light Frappuccino® Blended Coffee,140.0,0.5,28.0,1.0,4.0,180.0
88,Cinnamon Dolce Crème,200.0,6.0,28.0,0.0,10.0,135.0
89,Vanilla Crème,200.0,6.0,28.0,0.0,10.0,135.0
90,Chocolate Smoothie,320.0,5.0,53.0,8.0,20.0,170.0
91,Strawberry Smoothie,300.0,2.0,60.0,7.0,16.0,130.0
