Name,Calories,Fat (g),Carb. (g),Fiber (g),Protein,Sodium
Starbucks Doubleshot® Espresso Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® Espresso Salted Caramel Cream,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® Light Espresso Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® Protein Caramel,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Refreshers™ Raspberry Pomegranate,90,0,27,0,0,0
Starbucks Refreshers™ Strawberry Lemonade,90,0,27,0,0,0
Starbucks® Bottled Caramel Frappuccino® Coffee Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Bottled Coffee Frappuccino® Coffee Drink,NaN,NaN,NaN,NaN,NaN,NaN
"Starbucks® Bottled Cold Brew Black, Unsweetened",NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Bottled Cold Brew Cocoa and Honey with Cream,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Bottled Dulce de Leche Frappuccino® Coffee Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Bottled Mocha Frappuccino® Coffee Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Bottled Mocha Light Frappuccino® Coffee Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Bottled S'mores Frappuccino® Coffee Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Bottled Vanilla Frappuccino® Coffee Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Bottled Vanilla Light Frappuccino® Coffee Drink,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Caramel Iced Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Doubleshot Protein Dark Chocolate,210,2.5,33,2,20,115
Starbucks® Doubleshot Protein Vanilla,200,2.5,34,2,20,120
Starbucks® Iced Coffee + Milk,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Iced Coffee Caramel,60,0,13,0,1,0
Starbucks® Iced Coffee Light Sweetened,50,0,11,0,1,0
Starbucks® Iced Coffee Unsweetened,10,0,2,0,1,0
Starbucks® Low Calorie Iced Coffee + Milk,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Refreshers™ NaN Black Cherry Limeade with Coconut Water,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks® Vanilla Iced Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Tazo® Bottled Berry Blossom White,60,0,15,0,0,10
Tazo® Bottled Black Mango,150,0,38,0,0,15
Tazo® Bottled Black with Lemon,140,0,35,0,0,10
Tazo® Bottled Brambleberry,140,0,35,0,0,15
Tazo® Bottled Giant Peach,150,0,37,0,0,15
Tazo® Bottled Iced Passion,70,0,17,0,0,10
Tazo® Bottled Lemon Ginger,120,0,31,0,0,10
Tazo® Bottled Organic Black Lemonade,140,0,35,0,0,10
Tazo® Bottled Organic Iced Black Tea,60,0,15,0,0,10
Tazo® Bottled Organic Iced Green Tea,120,0,31,0,0,10
Tazo® Bottled Plum Pomegranate,140,0,35,0,0,10
Tazo® Bottled Tazoberry,150,0,38,0,0,15
Tazo® Bottled White Cranberry,140,0,35,0,0,10
Teavana® Mango Black Tea,NaN,NaN,NaN,NaN,NaN,NaN
Teavana® Passion Tango® Herbal Tea,NaN,NaN,NaN,NaN,NaN,NaN
Teavana® Peach Green Tea,NaN,NaN,NaN,NaN,NaN,NaN
White Chocolate Mocha Bottled Frappuccino,NaN,NaN,NaN,NaN,NaN,NaN
Blonde Roast,5,0,0,0,1,10
Caffè Misto,NaN,NaN,NaN,NaN,NaN,NaN
Clover® Brewed Coffee,10,0,0,0,1,10
Coffee Traveler,NaN,NaN,NaN,NaN,NaN,NaN
Decaf Pike Place® Roast,5,0,0,0,1,10
Featured Dark Roast,5,0,0,0,1,10
Iced Coffee,5,0,0,0,0,5
Iced Coffee with Milk,NaN,NaN,NaN,NaN,NaN,NaN
Nariño 70 Cold Brew,5,0,0,0,0,15
Nariño 70 Cold Brew with Milk,0,0,0,0,0,0
Nitro Cold Brew,5,0,0,0,0,10
Nitro Cold Brew with Sweet Cream,70,5,5,0,1,20
Pike Place® Roast,5,0,0,0,1,10
Toasted Coconut Cold Brew,NaN,NaN,NaN,NaN,NaN,NaN
Vanilla Sweet Cream Cold Brew,110,6,14,0,1,25
Hot Chocolate,320,9,47,4,14,160
Starbucks® Signature Hot Chocolate,430,26,45,5,12,115
Caffè Americano,NaN,NaN,NaN,NaN,NaN,NaN
Caffè Latte,190,7,19,0,13,170
Caffè Mocha,290,8,42,4,13,140
Cappuccino,120,4,12,0,8,100
Caramel Macchiato,250,7,35,0,10,150
Cascara Coconutmilk Latte,NaN,NaN,NaN,NaN,NaN,NaN
Cinnamon Dolce Latte,260,6,40,0,11,150
Coconutmilk Mocha Macchiato,250,9,32,0,12,180
Espresso,NaN,NaN,NaN,NaN,NaN,NaN
Espresso Con Panna,NaN,NaN,NaN,NaN,NaN,NaN
Espresso Macchiato,NaN,NaN,NaN,NaN,NaN,NaN
Flat White,180,7,18,0,12,160
Iced Caffè Americano,NaN,NaN,NaN,NaN,NaN,NaN
Iced Caffè Latte,130,4.5,13,0,8,115
Iced Caffè Mocha,230,6,36,4,9,90
Iced Caramel Macchiato,250,7,37,0,10,150
Iced Cascara Coconutmilk Latte,NaN,NaN,NaN,NaN,NaN,NaN
Iced Cinnamon Dolce Latte,200,4,34,0,7,95
Iced Coconutmilk Mocha Macchiato,260,9,34,0,11,180
Iced Skinny Cinnamon Dolce Latte,NaN,NaN,NaN,NaN,NaN,NaN
Iced Skinny Mocha,NaN,NaN,NaN,NaN,NaN,NaN
Iced Vanilla Latte,190,4,30,0,7,100
Iced White Chocolate Mocha,300,8,47,0,10,190
Latte Macchiato,190,7,19,0,12,160
Latte Macchiato,190,7,19,0,12,160
Skinny Mocha,NaN,NaN,NaN,NaN,NaN,NaN
Starbucks Doubleshot® on Ice Beverage,45,1,5,0,3,40
Vanilla Latte,250,6,37,0,12,150
White Chocolate Mocha,360,11,53,0,14,240
Caffè Vanilla Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Caffè Vanilla Light Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Caramel Cocoa Cluster Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Caramel Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Caramel Light Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Chai Crème Frappuccino® Blended Crème,NaN,NaN,NaN,NaN,NaN,NaN
Cinnamon Dolce Frappuccino® Blended Coffee,350,4.5,64,0,15,0
Cinnamon Dolce Light Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Cinnamon Roll Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Coffee Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Coffee Light Frappuccino® Blended Coffee,110,0,24,0,3,200
Cupcake Crème Frappuccino® Blended Crème,NaN,NaN,NaN,NaN,NaN,NaN
Green Tea Crème Frappuccino® Blended Crème,NaN,NaN,NaN,NaN,NaN,NaN
Java Chip Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Java Chip Light Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Lemon Bar Crème Frappuccino® Blended Crème,NaN,NaN,NaN,NaN,NaN,NaN
Midnight Mint Mocha Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Midnight Mint Mocha Frappuccino® Blended Crème,NaN,NaN,NaN,NaN,NaN,NaN
Mocha Frappuccino® Blended Coffee,280,2.5,60,2,4,220
Mocha Light Frappuccino® Blended Coffee,140,0.5,28,1,4,180
Oprah Cinnamon Chai Crème Frappuccino® Blended Crème,NaN,NaN,NaN,NaN,NaN,NaN
Red Velvet Cake Crème Frappuccino® Blended Crème,NaN,NaN,NaN,NaN,NaN,NaN
S'mores Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
S'mores Frappuccino® Blended Crème,NaN,NaN,NaN,NaN,NaN,NaN
Strawberries & Crème Frappuccino® Blended Crème,NaN,NaN,NaN,NaN,NaN,NaN
The Pokémon™ GO Frappuccino® Blended Beverage,NaN,NaN,NaN,NaN,NaN,NaN
Vanilla Bean Crème Frappuccino® Blended Crème,NaN,NaN,NaN,NaN,NaN,NaN
White Chocolate Mocha Frappuccino® Blended Coffee,NaN,NaN,NaN,NaN,NaN,NaN
Cinnamon Dolce Crème,200,6,28,0,10,135
Organic Chocolate Milk Box,NaN,NaN,NaN,NaN,NaN,NaN
Steamed Apple Juice,NaN,NaN,NaN,NaN,NaN,NaN
Vanilla Crème,200,6,28,0,10,135
Chocolate Smoothie,320,5,53,8,20,170
Strawberry Smoothie,300,2,60,7,16,130
Ginger Ale,NaN,NaN,NaN,NaN,NaN,NaN
Lemon Ale,NaN,NaN,NaN,NaN,NaN,NaN
Orange Cream Soda,NaN,NaN,NaN,NaN,NaN,NaN
